	SRR13994159	SRR13994160	SRR13994161	SRR13994162	SRR13994163	SRR13994164	SRR13994165	SRR13994166	SRR13994167	SRR13994168	SRR13994169	SRR13994170	SRR13994171	SRR13994172	SRR13994173	SRR13994174	SRR13994175	SRR13994176	SRR13994177	SRR13994178	SRR13994179	SRR13994180	SRR13994181	SRR13994182	SRR13994183	SRR13994184	SRR13994185	SRR13994186	SRR13994187	SRR13994188	SRR13994189	SRR13994190	SRR13994191	SRR13994192	SRR13994193	SRR13994194	SRR13994195	SRR13994196	SRR13994197	SRR13994198	SRR13994199	SRR13994200	SRR13994201	SRR13994202	SRR13994203	SRR13994204	SRR13994205	SRR13994206	SRR13994207	SRR13994208	SRR13994209	SRR13994210	SRR13994211
SRR13994159	0.0	0.6616	0.8219	0.813	0.6405	0.7798	0.8783	0.6668	0.9434	0.7243	0.723	0.6957	0.6337	0.8652	0.6455	0.7953	0.8138	0.7349	0.8212	0.7364	0.8303	0.6915	0.7936	0.7155	0.8313	0.8501	0.6944	0.6736	0.7513	0.6248	0.7964	0.7591	0.6633	0.8076	0.8938	0.8418	0.8758	0.75	0.781	0.6928	0.7559	0.804	0.7899	0.7485	0.6112	0.7316	0.6465	0.7255	0.7241	0.7893	0.7857	0.8039	0.7316
SRR13994160	0.6616	0.0	0.799	0.8084	0.815	0.754	0.8972	0.7678	0.914	0.7095	0.8098	0.7655	0.5621	0.8605	0.8403	0.8406	0.8322	0.7368	0.7573	0.7742	0.8378	0.7385	0.7813	0.8427	0.786	0.7731	0.8215	0.8596	0.7776	0.6762	0.7947	0.7657	0.7142	0.8092	0.8982	0.8665	0.839	0.6919	0.7398	0.7018	0.6917	0.7641	0.9059	0.7217	0.7596	0.7083	0.5342	0.7884	0.742	0.7944	0.8089	0.7907	0.7553
SRR13994161	0.8219	0.799	0.0	0.7844	0.8914	0.7254	0.9412	0.9202	0.9703	0.7762	0.9191	0.8666	0.7817	0.8214	0.9063	0.9005	0.7578	0.7745	0.9082	0.8728	0.9178	0.7684	0.8112	0.9324	0.7553	0.9126	0.919	0.752	0.8841	0.7892	0.7666	0.7479	0.7598	0.876	0.9017	0.8948	0.9159	0.8525	0.9132	0.7781	0.8371	0.6615	0.9238	0.5802	0.9032	0.7312	0.7439	0.8736	0.823	0.74	0.6818	0.726	0.8378
SRR13994162	0.813	0.8084	0.7844	0.0	0.8042	0.7225	0.879	0.8692	0.7694	0.7064	0.8595	0.7627	0.8203	0.7422	0.8818	0.6951	0.7827	0.7123	0.8061	0.7905	0.828	0.7301	0.5757	0.8989	0.5931	0.8803	0.8386	0.8329	0.8394	0.7507	0.7543	0.7438	0.7185	0.7881	0.6947	0.8294	0.744	0.8399	0.8615	0.7356	0.8076	0.8146	0.7175	0.8036	0.8912	0.7706	0.742	0.8229	0.6519	0.7695	0.765	0.7937	0.8332
SRR13994163	0.6405	0.815	0.8914	0.8042	0.0	0.8533	0.8835	0.7724	0.9476	0.7981	0.8294	0.7693	0.7606	0.9196	0.6556	0.8498	0.9163	0.8728	0.8308	0.7006	0.8405	0.8377	0.7844	0.7304	0.8045	0.838	0.8541	0.6607	0.8182	0.816	0.8634	0.8745	0.7903	0.7306	0.9028	0.8604	0.9072	0.8057	0.8177	0.832	0.7779	0.8289	0.8105	0.8742	0.7011	0.8774	0.7867	0.829	0.8432	0.8509	0.8893	0.8795	0.8739
SRR13994164	0.7798	0.754	0.7254	0.7225	0.8533	0.0	0.9328	0.8573	0.9499	0.6797	0.9092	0.8367	0.7617	0.7785	0.8863	0.868	0.7748	0.7292	0.886	0.8452	0.8783	0.7371	0.7232	0.9056	0.6738	0.8405	0.8028	0.7276	0.8506	0.6536	0.7148	0.6688	0.6091	0.7865	0.8383	0.8604	0.8998	0.7915	0.8684	0.6412	0.8415	0.7397	0.8918	0.6877	0.8895	0.7005	0.6599	0.8308	0.8025	0.719	0.6962	0.7132	0.8168
SRR13994165	0.8783	0.8972	0.9412	0.879	0.8835	0.9328	0.0	0.9288	0.9383	0.9027	0.873	0.8629	0.9061	0.9139	0.9324	0.9201	0.9478	0.8902	0.8727	0.8769	0.5979	0.9128	0.8717	0.9097	0.9126	0.9088	0.9117	0.9258	0.8571	0.9032	0.8319	0.9415	0.8812	0.8889	0.8527	0.9147	0.9447	0.852	0.6721	0.9027	0.8694	0.9326	0.9065	0.9348	0.9006	0.8788	0.8634	0.6943	0.9119	0.9327	0.9372	0.9095	0.8402
SRR13994166	0.6668	0.7678	0.9202	0.8692	0.7724	0.8573	0.9288	0.0	0.9266	0.7537	0.7482	0.7616	0.7541	0.8697	0.6065	0.8062	0.9176	0.8766	0.7698	0.7323	0.8044	0.7934	0.8684	0.7167	0.8352	0.7182	0.6154	0.8226	0.6524	0.7462	0.8599	0.8752	0.6877	0.7704	0.8586	0.8199	0.863	0.7455	0.6434	0.7512	0.7115	0.8409	0.8219	0.8824	0.62	0.8918	0.7944	0.662	0.7949	0.8891	0.9127	0.7785	0.6524
SRR13994167	0.9434	0.914	0.9703	0.7694	0.9476	0.9499	0.9383	0.9266	0.0	0.8856	0.9106	0.8688	0.9516	0.7171	0.9378	0.5743	0.9694	0.9671	0.7954	0.9342	0.9496	0.9035	0.779	0.8496	0.8527	0.8727	0.8658	0.9169	0.9551	0.914	0.9783	0.9737	0.9403	0.9179	0.4793	0.9176	0.5917	0.9179	0.9154	0.9615	0.9225	0.9142	0.5209	0.9713	0.8571	0.9632	0.9265	0.9356	0.5547	0.9603	0.9711	0.9636	0.9615
SRR13994168	0.7243	0.7095	0.7762	0.7064	0.7981	0.6797	0.9027	0.7537	0.8856	0.0	0.8359	0.7431	0.6951	0.7427	0.7995	0.7827	0.7856	0.7816	0.787	0.8224	0.8312	0.7343	0.7215	0.8209	0.6146	0.783	0.7671	0.758	0.7694	0.6768	0.7192	0.7466	0.6206	0.7922	0.789	0.773	0.8093	0.7107	0.7945	0.6907	0.7773	0.7318	0.8025	0.7372	0.8117	0.7368	0.6401	0.7709	0.6959	0.8163	0.8098	0.7249	0.7208
SRR13994169	0.723	0.8098	0.9191	0.8595	0.8294	0.9092	0.873	0.7482	0.9106	0.8359	0.0	0.6801	0.8363	0.8518	0.7795	0.8085	0.8945	0.8507	0.8402	0.8159	0.8361	0.8305	0.8938	0.8205	0.8959	0.8362	0.6926	0.8765	0.7486	0.8172	0.8757	0.882	0.8044	0.8136	0.9397	0.9081	0.8935	0.8497	0.8276	0.8137	0.8099	0.903	0.8749	0.9233	0.7613	0.8979	0.8201	0.7165	0.8524	0.9309	0.8949	0.9055	0.7999
SRR13994170	0.6957	0.7655	0.8666	0.7627	0.7693	0.8367	0.8629	0.7616	0.8688	0.7431	0.6801	0.0	0.7952	0.771	0.822	0.7845	0.8169	0.8423	0.8078	0.7335	0.8085	0.7231	0.7847	0.8096	0.762	0.8034	0.6702	0.8652	0.7693	0.7101	0.8501	0.8405	0.7612	0.8286	0.8175	0.8438	0.7971	0.8759	0.8395	0.7348	0.7206	0.9027	0.7349	0.8592	0.754	0.8549	0.754	0.7541	0.7705	0.8762	0.8109	0.8411	0.8165
SRR13994171	0.6337	0.5621	0.7817	0.8203	0.7606	0.7617	0.9061	0.7541	0.9516	0.6951	0.8363	0.7952	0.0	0.8696	0.771	0.8329	0.8469	0.7616	0.882	0.8314	0.8708	0.7235	0.8102	0.8719	0.773	0.8407	0.8138	0.7754	0.8329	0.6824	0.7886	0.7846	0.6905	0.8535	0.8941	0.8819	0.9125	0.7225	0.8055	0.7657	0.7854	0.7694	0.8455	0.7564	0.8013	0.7151	0.5764	0.7878	0.7135	0.8111	0.8032	0.7825	0.7738
SRR13994172	0.8652	0.8605	0.8214	0.7422	0.9196	0.7785	0.9139	0.8697	0.7171	0.7427	0.8518	0.771	0.8696	0.0	0.902	0.6663	0.8548	0.8525	0.7709	0.8907	0.8846	0.8318	0.7902	0.8317	0.7627	0.8786	0.8148	0.8301	0.8783	0.7892	0.8336	0.8333	0.7907	0.9028	0.7825	0.8331	0.7775	0.8814	0.913	0.7982	0.7889	0.8221	0.769	0.7929	0.8704	0.8281	0.7655	0.8886	0.7364	0.8898	0.8638	0.8046	0.8619
SRR13994173	0.6455	0.8403	0.9063	0.8818	0.6556	0.8863	0.9324	0.6065	0.9378	0.7995	0.7795	0.822	0.771	0.902	0.0	0.8346	0.9284	0.8846	0.8807	0.7451	0.8636	0.8356	0.8639	0.6412	0.8703	0.7231	0.6498	0.7007	0.7088	0.7884	0.8657	0.889	0.7768	0.8092	0.8958	0.8732	0.9168	0.8093	0.7586	0.7883	0.6745	0.8906	0.7971	0.8844	0.4944	0.8886	0.8137	0.624	0.776	0.894	0.9227	0.8895	0.6952
SRR13994174	0.7953	0.8406	0.9005	0.6951	0.8498	0.868	0.9201	0.8062	0.5743	0.7827	0.8085	0.7845	0.8329	0.6663	0.8346	0.0	0.8926	0.8514	0.776	0.8332	0.8661	0.7977	0.7037	0.7981	0.7538	0.8611	0.7503	0.8623	0.8688	0.7763	0.8621	0.8775	0.8186	0.8384	0.6564	0.8659	0.6084	0.8891	0.8747	0.8227	0.8416	0.8793	0.6084	0.9044	0.7807	0.8934	0.7899	0.8444	0.5533	0.8756	0.8952	0.9059	0.8738
SRR13994175	0.8138	0.8322	0.7578	0.7827	0.9163	0.7748	0.9478	0.9176	0.9694	0.7856	0.8945	0.8169	0.8469	0.8548	0.9284	0.8926	0.0	0.7707	0.9146	0.8981	0.8973	0.791	0.7966	0.9079	0.8028	0.8962	0.8931	0.867	0.8905	0.7925	0.7858	0.6964	0.7694	0.884	0.8888	0.8731	0.881	0.8612	0.9228	0.7534	0.8288	0.8254	0.9201	0.7643	0.8966	0.76	0.7337	0.8723	0.8458	0.8005	0.7577	0.8123	0.8493
SRR13994176	0.7349	0.7368	0.7745	0.7123	0.8728	0.7292	0.8902	0.8766	0.9671	0.7816	0.8507	0.8423	0.7616	0.8525	0.8846	0.8514	0.7707	0.0	0.8843	0.8384	0.8527	0.7002	0.6996	0.8737	0.775	0.9084	0.8657	0.8389	0.7465	0.6661	0.7215	0.6979	0.6862	0.7774	0.8513	0.8659	0.9212	0.7383	0.8112	0.7054	0.841	0.7924	0.9279	0.6991	0.9063	0.6498	0.6411	0.7547	0.7992	0.7114	0.704	0.7685	0.7614
SRR13994177	0.8212	0.7573	0.9082	0.8061	0.8308	0.886	0.8727	0.7698	0.7954	0.787	0.8402	0.8078	0.882	0.7709	0.8807	0.776	0.9146	0.8843	0.0	0.8313	0.8998	0.7968	0.825	0.7857	0.8208	0.6811	0.8246	0.8412	0.8304	0.8321	0.9029	0.913	0.8629	0.7941	0.8462	0.7568	0.7201	0.7312	0.7585	0.8427	0.862	0.7481	0.8444	0.8752	0.764	0.9082	0.8269	0.8356	0.807	0.9052	0.9059	0.8541	0.8448
SRR13994178	0.7364	0.7742	0.8728	0.7905	0.7006	0.8452	0.8769	0.7323	0.9342	0.8224	0.8159	0.7335	0.8314	0.8907	0.7451	0.8332	0.8981	0.8384	0.8313	0.0	0.845	0.7859	0.8525	0.7937	0.8576	0.761	0.6988	0.8411	0.7925	0.7744	0.799	0.8349	0.7845	0.7751	0.9473	0.8741	0.8199	0.8349	0.7681	0.7785	0.6219	0.9104	0.8796	0.8434	0.753	0.845	0.8231	0.7591	0.8374	0.8291	0.8552	0.9065	0.7785
SRR13994179	0.8303	0.8378	0.9178	0.828	0.8405	0.8783	0.5979	0.8044	0.9496	0.8312	0.8361	0.8085	0.8708	0.8846	0.8636	0.8661	0.8973	0.8527	0.8998	0.845	0.0	0.8631	0.833	0.8957	0.8564	0.8804	0.8403	0.8926	0.7804	0.8205	0.7626	0.8501	0.7521	0.8266	0.8285	0.8526	0.9296	0.7898	0.5673	0.8073	0.8321	0.9073	0.8998	0.9066	0.8585	0.8707	0.8094	0.6529	0.8515	0.8913	0.9159	0.8856	0.7807
SRR13994180	0.6915	0.7385	0.7684	0.7301	0.8377	0.7371	0.9128	0.7934	0.9035	0.7343	0.8305	0.7231	0.7235	0.8318	0.8356	0.7977	0.791	0.7002	0.7968	0.7859	0.8631	0.0	0.756	0.8729	0.7135	0.8149	0.816	0.7945	0.8057	0.6449	0.7687	0.7123	0.7067	0.8411	0.7956	0.799	0.8164	0.7535	0.8173	0.6887	0.8386	0.7505	0.827	0.732	0.8384	0.7008	0.6517	0.8168	0.7094	0.7672	0.734	0.6865	0.7832
SRR13994181	0.7936	0.7813	0.8112	0.5757	0.7844	0.7232	0.8717	0.8684	0.779	0.7215	0.8938	0.7847	0.8102	0.7902	0.8639	0.7037	0.7966	0.6996	0.825	0.8525	0.833	0.756	0.0	0.9135	0.6256	0.8316	0.8574	0.8429	0.7993	0.7147	0.76	0.7796	0.7032	0.7434	0.6636	0.8189	0.7573	0.7402	0.8407	0.7052	0.8786	0.7885	0.7498	0.7817	0.8861	0.7405	0.704	0.8	0.6417	0.7708	0.7686	0.7757	0.767
SRR13994182	0.7155	0.8427	0.9324	0.8989	0.7304	0.9056	0.9097	0.7167	0.8496	0.8209	0.8205	0.8096	0.8719	0.8317	0.6412	0.7981	0.9079	0.8737	0.7857	0.7937	0.8957	0.8729	0.9135	0.0	0.9063	0.6301	0.6774	0.7474	0.6745	0.8399	0.8892	0.9241	0.8573	0.868	0.9076	0.8322	0.7754	0.723	0.7915	0.8452	0.7379	0.7993	0.8108	0.8809	0.5413	0.8802	0.7889	0.7169	0.858	0.92	0.9297	0.8946	0.6845
SRR13994183	0.8313	0.786	0.7553	0.5931	0.8045	0.6738	0.9126	0.8352	0.8527	0.6146	0.8959	0.762	0.773	0.7627	0.8703	0.7538	0.8028	0.775	0.8208	0.8576	0.8564	0.7135	0.6256	0.9063	0.0	0.8378	0.8533	0.8179	0.8102	0.7231	0.7374	0.7813	0.6628	0.715	0.7508	0.8327	0.8375	0.7842	0.8829	0.6809	0.8336	0.7795	0.8087	0.7815	0.8679	0.7563	0.7003	0.8278	0.7333	0.7882	0.7758	0.7691	0.7874
