	SRR13994159	SRR13994160	SRR13994161	SRR13994162	SRR13994163	SRR13994164	SRR13994165	SRR13994166	SRR13994167	SRR13994168	SRR13994169	SRR13994170	SRR13994171	SRR13994172	SRR13994173	SRR13994174	SRR13994175	SRR13994176	SRR13994177	SRR13994178	SRR13994179	SRR13994180	SRR13994181	SRR13994182	SRR13994183	SRR13994184	SRR13994185	SRR13994186	SRR13994187	SRR13994188	SRR13994189	SRR13994190	SRR13994191	SRR13994192	SRR13994193	SRR13994194	SRR13994195	SRR13994196	SRR13994197	SRR13994198	SRR13994199	SRR13994200	SRR13994201	SRR13994202	SRR13994203	SRR13994204	SRR13994205	SRR13994206	SRR13994207	SRR13994208	SRR13994209	SRR13994210	SRR13994211
SRR13994184	0.8501	0.7731	0.9126	0.8803	0.838	0.8405	0.9088	0.7182	0.8727	0.783	0.8362	0.8034	0.8407	0.8786	0.7231	0.8611	0.8962	0.9084	0.6811	0.761	0.8804	0.8149	0.8316	0.6301	0.8378	0.0	0.7171	0.8394	0.749	0.8361	0.9029	0.9246	0.7875	0.6932	0.9118	0.8638	0.7854	0.674	0.6842	0.7992	0.7257	0.7098	0.8816	0.9072	0.6373	0.9191	0.8164	0.6813	0.8586	0.8827	0.914	0.8714	0.7311
SRR13994185	0.6944	0.8215	0.919	0.8386	0.8541	0.8028	0.9117	0.6154	0.8658	0.7671	0.6926	0.6702	0.8138	0.8148	0.6498	0.7503	0.8931	0.8657	0.8246	0.6988	0.8403	0.816	0.8574	0.6774	0.8533	0.7171	0.0	0.821	0.7293	0.7121	0.8292	0.8253	0.7447	0.8305	0.8708	0.8514	0.8343	0.8211	0.7568	0.7907	0.6951	0.8979	0.7975	0.8693	0.6473	0.8698	0.8151	0.677	0.7915	0.8615	0.839	0.9155	0.7257
SRR13994186	0.6736	0.8596	0.752	0.8329	0.6607	0.7276	0.9258	0.8226	0.9169	0.758	0.8765	0.8652	0.7754	0.8301	0.7007	0.8623	0.867	0.8389	0.8412	0.8411	0.8926	0.7945	0.8429	0.7474	0.8179	0.8394	0.821	0.0	0.8555	0.776	0.7284	0.7176	0.7714	0.8612	0.9078	0.8729	0.8539	0.8236	0.8701	0.8123	0.8317	0.6796	0.83	0.6974	0.7227	0.7674	0.7494	0.8648	0.7983	0.8031	0.7402	0.7445	0.8461
SRR13994187	0.7513	0.7776	0.8841	0.8394	0.8182	0.8506	0.8571	0.6524	0.9551	0.7694	0.7486	0.7693	0.8329	0.8783	0.7088	0.8688	0.8905	0.7465	0.8304	0.7925	0.7804	0.8057	0.7993	0.6745	0.8102	0.749	0.7293	0.8555	0.0	0.7933	0.7493	0.8475	0.7302	0.7751	0.8415	0.8441	0.9317	0.735	0.6674	0.7081	0.7234	0.8509	0.8927	0.8277	0.7101	0.807	0.7338	0.6507	0.8131	0.8651	0.8729	0.8453	0.5784
SRR13994188	0.6248	0.6762	0.7892	0.7507	0.816	0.6536	0.9032	0.7462	0.914	0.6768	0.8172	0.7101	0.6824	0.7892	0.7884	0.7763	0.7925	0.6661	0.8321	0.7744	0.8205	0.6449	0.7147	0.8399	0.7231	0.8361	0.7121	0.776	0.7933	0.0	0.7242	0.6949	0.6481	0.7659	0.82	0.8028	0.8432	0.7113	0.848	0.6539	0.7969	0.8049	0.7953	0.7437	0.8244	0.6691	0.5901	0.7481	0.6777	0.715	0.7114	0.7842	0.7441
SRR13994189	0.7964	0.7947	0.7666	0.7543	0.8634	0.7148	0.8319	0.8599	0.9783	0.7192	0.8757	0.8501	0.7886	0.8336	0.8657	0.8621	0.7858	0.7215	0.9029	0.799	0.7626	0.7687	0.76	0.8892	0.7374	0.9029	0.8292	0.7284	0.7493	0.7242	0.0	0.6869	0.6883	0.8189	0.7809	0.874	0.8683	0.7552	0.7828	0.7106	0.8329	0.7994	0.9223	0.7473	0.8841	0.6511	0.685	0.7329	0.8144	0.7554	0.7385	0.781	0.7346
SRR13994190	0.7591	0.7657	0.7479	0.7438	0.8745	0.6688	0.9415	0.8752	0.9737	0.7466	0.882	0.8405	0.7846	0.8333	0.889	0.8775	0.6964	0.6979	0.913	0.8349	0.8501	0.7123	0.7796	0.9241	0.7813	0.9246	0.8253	0.7176	0.8475	0.6949	0.6869	0.0	0.6786	0.8592	0.8864	0.8751	0.9016	0.798	0.8456	0.737	0.8278	0.7711	0.9278	0.7191	0.9069	0.6602	0.6661	0.8411	0.8064	0.6915	0.6517	0.7422	0.8212
SRR13994191	0.6633	0.7142	0.7598	0.7185	0.7903	0.6091	0.8812	0.6877	0.9403	0.6206	0.8044	0.7612	0.6905	0.7907	0.7768	0.8186	0.7694	0.6862	0.8629	0.7845	0.7521	0.7067	0.7032	0.8573	0.6628	0.7875	0.7447	0.7714	0.7302	0.6481	0.6883	0.6786	0.0	0.7152	0.7965	0.7421	0.8992	0.6581	0.6894	0.6151	0.7784	0.7467	0.8635	0.7415	0.7963	0.6487	0.6033	0.7268	0.7378	0.7392	0.7459	0.7311	0.6831
SRR13994192	0.8076	0.8092	0.876	0.7881	0.7306	0.7865	0.8889	0.7704	0.9179	0.7922	0.8136	0.8286	0.8535	0.9028	0.8092	0.8384	0.884	0.7774	0.7941	0.7751	0.8266	0.8411	0.7434	0.868	0.715	0.6932	0.8305	0.8612	0.7751	0.7659	0.8189	0.8592	0.7152	0.0	0.886	0.8323	0.9139	0.7438	0.7687	0.6935	0.8265	0.7931	0.9055	0.8914	0.7486	0.8436	0.7927	0.7434	0.8424	0.8394	0.8346	0.8629	0.7725
SRR13994193	0.8938	0.8982	0.9017	0.6947	0.9028	0.8383	0.8527	0.8586	0.4793	0.789	0.9397	0.8175	0.8941	0.7825	0.8958	0.6564	0.8888	0.8513	0.8462	0.9473	0.8285	0.7956	0.6636	0.9076	0.7508	0.9118	0.8708	0.9078	0.8415	0.82	0.7809	0.8864	0.7965	0.886	0.0	0.7951	0.6265	0.7903	0.8131	0.8612	0.9516	0.8476	0.4694	0.8948	0.9148	0.8529	0.8004	0.802	0.4781	0.8895	0.8906	0.8062	0.8306
SRR13994194	0.8418	0.8665	0.8948	0.8294	0.8604	0.8604	0.9147	0.8199	0.9176	0.773	0.9081	0.8438	0.8819	0.8331	0.8732	0.8659	0.8731	0.8659	0.7568	0.8741	0.8526	0.799	0.8189	0.8322	0.8327	0.8638	0.8514	0.8729	0.8441	0.8028	0.874	0.8751	0.7421	0.8323	0.7951	0.0	0.8823	0.6586	0.8078	0.7917	0.8865	0.8018	0.8446	0.8699	0.8457	0.81	0.7972	0.832	0.7816	0.8502	0.876	0.8102	0.8007
SRR13994195	0.8758	0.839	0.9159	0.744	0.9072	0.8998	0.9447	0.863	0.5917	0.8093	0.8935	0.7971	0.9125	0.7775	0.9168	0.6084	0.881	0.9212	0.7201	0.8199	0.9296	0.8164	0.7573	0.7754	0.8375	0.7854	0.8343	0.8539	0.9317	0.8432	0.8683	0.9016	0.8992	0.9139	0.6265	0.8823	0.0	0.8491	0.905	0.8909	0.8824	0.8001	0.6194	0.8809	0.8441	0.9245	0.8097	0.9205	0.615	0.9329	0.8832	0.8785	0.9306
SRR13994196	0.75	0.6919	0.8525	0.8399	0.8057	0.7915	0.852	0.7455	0.9179	0.7107	0.8497	0.8759	0.7225	0.8814	0.8093	0.8891	0.8612	0.7383	0.7312	0.8349	0.7898	0.7535	0.7402	0.723	0.7842	0.674	0.8211	0.8236	0.735	0.7113	0.7552	0.798	0.6581	0.7438	0.7903	0.6586	0.8491	0.0	0.6047	0.7241	0.8341	0.6486	0.9113	0.7932	0.7552	0.7331	0.6749	0.696	0.7527	0.8083	0.8508	0.7656	0.5786
SRR13994197	0.781	0.7398	0.9132	0.8615	0.8177	0.8684	0.6721	0.6434	0.9154	0.7945	0.8276	0.8395	0.8055	0.913	0.7586	0.8747	0.9228	0.8112	0.7585	0.7681	0.5673	0.8173	0.8407	0.7915	0.8829	0.6842	0.7568	0.8701	0.6674	0.848	0.7828	0.8456	0.6894	0.7687	0.8131	0.8078	0.905	0.6047	0.0	0.7863	0.7886	0.8168	0.8968	0.8948	0.7152	0.8606	0.787	0.5383	0.8235	0.8745	0.909	0.8654	0.6367
SRR13994198	0.6928	0.7018	0.7781	0.7356	0.832	0.6412	0.9027	0.7512	0.9615	0.6907	0.8137	0.7348	0.7657	0.7982	0.7883	0.8227	0.7534	0.7054	0.8427	0.7785	0.8073	0.6887	0.7052	0.8452	0.6809	0.7992	0.7907	0.8123	0.7081	0.6539	0.7106	0.737	0.6151	0.6935	0.8612	0.7917	0.8909	0.7241	0.7863	0.0	0.7566	0.8292	0.8603	0.732	0.7503	0.7296	0.6553	0.7075	0.7614	0.75	0.716	0.7515	0.6979
SRR13994199	0.7559	0.6917	0.8371	0.8076	0.7779	0.8415	0.8694	0.7115	0.9225	0.7773	0.8099	0.7206	0.7854	0.7889	0.6745	0.8416	0.8288	0.841	0.862	0.6219	0.8321	0.8386	0.8786	0.7379	0.8336	0.7257	0.6951	0.8317	0.7234	0.7969	0.8329	0.8278	0.7784	0.8265	0.9516	0.8865	0.8824	0.8341	0.7886	0.7566	0.0	0.8688	0.8849	0.7956	0.6357	0.8006	0.7377	0.6972	0.8272	0.8726	0.8446	0.8586	0.6994
SRR13994200	0.804	0.7641	0.6615	0.8146	0.8289	0.7397	0.9326	0.8409	0.9142	0.7318	0.903	0.9027	0.7694	0.8221	0.8906	0.8793	0.8254	0.7924	0.7481	0.9104	0.9073	0.7505	0.7885	0.7993	0.7795	0.7098	0.8979	0.6796	0.8509	0.8049	0.7994	0.7711	0.7467	0.7931	0.8476	0.8018	0.8001	0.6486	0.8168	0.8292	0.8688	0.0	0.919	0.5994	0.8465	0.7309	0.6884	0.8751	0.7695	0.8244	0.8234	0.6665	0.8105
SRR13994201	0.7899	0.9059	0.9238	0.7175	0.8105	0.8918	0.9065	0.8219	0.5209	0.8025	0.8749	0.7349	0.8455	0.769	0.7971	0.6084	0.9201	0.9279	0.8444	0.8796	0.8998	0.827	0.7498	0.8108	0.8087	0.8816	0.7975	0.83	0.8927	0.7953	0.9223	0.9278	0.8635	0.9055	0.4694	0.8446	0.6194	0.9113	0.8968	0.8603	0.8849	0.919	0.0	0.9253	0.8052	0.8701	0.8062	0.8679	0.4626	0.9133	0.9244	0.9122	0.8953
SRR13994202	0.7485	0.7217	0.5802	0.8036	0.8742	0.6877	0.9348	0.8824	0.9713	0.7372	0.9233	0.8592	0.7564	0.7929	0.8844	0.9044	0.7643	0.6991	0.8752	0.8434	0.9066	0.732	0.7817	0.8809	0.7815	0.9072	0.8693	0.6974	0.8277	0.7437	0.7473	0.7191	0.7415	0.8914	0.8948	0.8699	0.8809	0.7932	0.8948	0.732	0.7956	0.5994	0.9253	0.0	0.8842	0.6416	0.6728	0.8573	0.7847	0.7327	0.707	0.6649	0.7772
SRR13994203	0.6112	0.7596	0.9032	0.8912	0.7011	0.8895	0.9006	0.62	0.8571	0.8117	0.7613	0.754	0.8013	0.8704	0.4944	0.7807	0.8966	0.9063	0.764	0.753	0.8585	0.8384	0.8861	0.5413	0.8679	0.6373	0.6473	0.7227	0.7101	0.8244	0.8841	0.9069	0.7963	0.7486	0.9148	0.8457	0.8441	0.7552	0.7152	0.7503	0.6357	0.8465	0.8052	0.8842	0.0	0.8923	0.7552	0.5947	0.8044	0.9246	0.9212	0.8859	0.6523
SRR13994204	0.7316	0.7083	0.7312	0.7706	0.8774	0.7005	0.8788	0.8918	0.9632	0.7368	0.8979	0.8549	0.7151	0.8281	0.8886	0.8934	0.76	0.6498	0.9082	0.845	0.8707	0.7008	0.7405	0.8802	0.7563	0.9191	0.8698	0.7674	0.807	0.6691	0.6511	0.6602	0.6487	0.8436	0.8529	0.81	0.9245	0.7331	0.8606	0.7296	0.8006	0.7309	0.8701	0.6416	0.8923	0.0	0.576	0.8234	0.7362	0.6652	0.7068	0.7165	0.7476
SRR13994205	0.6465	0.5342	0.7439	0.742	0.7867	0.6599	0.8634	0.7944	0.9265	0.6401	0.8201	0.754	0.5764	0.7655	0.8137	0.7899	0.7337	0.6411	0.8269	0.8231	0.8094	0.6517	0.704	0.7889	0.7003	0.8164	0.8151	0.7494	0.7338	0.5901	0.685	0.6661	0.6033	0.7927	0.8004	0.7972	0.8097	0.6749	0.787	0.6553	0.7377	0.6884	0.8062	0.6728	0.7552	0.576	0.0	0.7462	0.6723	0.7532	0.7383	0.6691	0.709
SRR13994206	0.7255	0.7884	0.8736	0.8229	0.829	0.8308	0.6943	0.662	0.9356	0.7709	0.7165	0.7541	0.7878	0.8886	0.624	0.8444	0.8723	0.7547	0.8356	0.7591	0.6529	0.8168	0.8	0.7169	0.8278	0.6813	0.677	0.8648	0.6507	0.7481	0.7329	0.8411	0.7268	0.7434	0.802	0.832	0.9205	0.696	0.5383	0.7075	0.6972	0.8751	0.8679	0.8573	0.5947	0.8234	0.7462	0.0	0.8155	0.8833	0.8698	0.838	0.5847
SRR13994207	0.7241	0.742	0.823	0.6519	0.8432	0.8025	0.9119	0.7949	0.5547	0.6959	0.8524	0.7705	0.7135	0.7364	0.776	0.5533	0.8458	0.7992	0.807	0.8374	0.8515	0.7094	0.6417	0.858	0.7333	0.8586	0.7915	0.7983	0.8131	0.6777	0.8144	0.8064	0.7378	0.8424	0.4781	0.7816	0.615	0.7527	0.8235	0.7614	0.8272	0.7695	0.4626	0.7847	0.8044	0.7362	0.6723	0.8155	0.0	0.8269	0.8218	0.7857	0.7454
SRR13994208	0.7893	0.7944	0.74	0.7695	0.8509	0.719	0.9327	0.8891	0.9603	0.8163	0.9309	0.8762	0.8111	0.8898	0.894	0.8756	0.8005	0.7114	0.9052	0.8291	0.8913	0.7672	0.7708	0.92	0.7882	0.8827	0.8615	0.8031	0.8651	0.715	0.7554	0.6915	0.7392	0.8394	0.8895	0.8502	0.9329	0.8083	0.8745	0.75	0.8726	0.8244	0.9133	0.7327	0.9246	0.6652	0.7532	0.8833	0.8269	0.0	0.6425	0.8263	0.83
SRR13994209	0.7857	0.8089	0.6818	0.765	0.8893	0.6962	0.9372	0.9127	0.9711	0.8098	0.8949	0.8109	0.8032	0.8638	0.9227	0.8952	0.7577	0.704	0.9059	0.8552	0.9159	0.734	0.7686	0.9297	0.7758	0.914	0.839	0.7402	0.8729	0.7114	0.7385	0.6517	0.7459	0.8346	0.8906	0.876	0.8832	0.8508	0.909	0.716	0.8446	0.8234	0.9244	0.707	0.9212	0.7068	0.7383	0.8698	0.8218	0.6425	0.0	0.7889	0.8297
SRR13994210	0.8039	0.7907	0.726	0.7937	0.8795	0.7132	0.9095	0.7785	0.9636	0.7249	0.9055	0.8411	0.7825	0.8046	0.8895	0.9059	0.8123	0.7685	0.8541	0.9065	0.8856	0.6865	0.7757	0.8946	0.7691	0.8714	0.9155	0.7445	0.8453	0.7842	0.781	0.7422	0.7311	0.8629	0.8062	0.8102	0.8785	0.7656	0.8654	0.7515	0.8586	0.6665	0.9122	0.6649	0.8859	0.7165	0.6691	0.838	0.7857	0.8263	0.7889	0.0	0.7832
SRR13994211	0.7316	0.7553	0.8378	0.8332	0.8739	0.8168	0.8402	0.6524	0.9615	0.7208	0.7999	0.8165	0.7738	0.8619	0.6952	0.8738	0.8493	0.7614	0.8448	0.7785	0.7807	0.7832	0.767	0.6845	0.7874	0.7311	0.7257	0.8461	0.5784	0.7441	0.7346	0.8212	0.6831	0.7725	0.8306	0.8007	0.9306	0.5786	0.6367	0.6979	0.6994	0.8105	0.8953	0.7772	0.6523	0.7476	0.709	0.5847	0.7454	0.83	0.8297	0.7832	0.0
